gene_name,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,celltype,nlog10padj
B3galt1,104.77106,-0.735164544824916,0.1671836424996747,-4.397347335139838,1.0958190954601143e-05,0.00041736414244480875,Oligodendrocyte,3.3794848657815746
B3galt5,26.680618,0.5249771561779161,0.26136619424712443,2.0085885923010562,0.04458078211250756,0.28124419332705386,Oligodendrocyte,0.5509164353945424
B3gat1,8.005596,-1.4500845370997273,0.5482660274501998,-2.6448557169292086,0.008172575644508347,0.09229140672582908,Oligodendrocyte,1.0348387343510408
B3gat3,6.221235,1.6378152701333053,0.6368445172283708,2.571766303745988,0.010118116543810826,0.1071576695106183,Oligodendrocyte,0.9699767400963448
B3glct,2.6157565,-0.9101869283822849,1.195182178142876,-0.7615466035450522,0.44633065410818584,0.8192814500206503,Oligodendrocyte,0.08656687822356905
B3gntl1,4.5459547,-0.6144946190754901,0.5671991926397357,-1.0833841568349951,0.27863794491334026,0.7024690007392939,Oligodendrocyte,0.15337283598503706
B530045E10Rik,3.3744445,5.5685615210032795,1.706545083426209,3.263061477299708,0.0011021560830932573,0.020114348516451948,Oligodendrocyte,1.6964940292270436
BC002059,3.3261173,0.34060559135572527,0.7910859707005656,0.43055445801180575,0.666792361448392,0.9161465299677878,Oligodendrocyte,0.03803505901003484
BC004004,6.339321,-0.3577265467044406,0.5532907735976911,-0.6465434881163422,0.5179274427939659,0.8621432333338509,Oligodendrocyte,0.06442057607907281
BC005537,9.339827,-0.4939844079917754,0.4541011718495563,-1.0878289654699074,0.2766706198035588,0.7024690007392939,Oligodendrocyte,0.15337283598503706
BC005624,2.907321,-0.35076274246123545,0.8169225080941384,-0.4293708876739814,0.6676533364836827,0.9161465299677878,Oligodendrocyte,0.03803505901003484
BC034090,19.206745,0.4521128661042278,0.3285308395655136,1.3761656796121577,0.1687703449738608,0.5708531157412305,Oligodendrocyte,0.2434756242047351
BC051408,3.1441317,-3.217251014580098,1.18273611865713,-2.7201765159864584,0.006524707635342773,0.07783950820996477,Oligodendrocyte,1.1087999166036981
BC065397,5.206713,0.7154216875397972,0.6411894813041109,1.1157726512991228,0.2645194631659328,0.6899333679853252,Oligodendrocyte,0.16119285029697897
Babam2,31.007133,-0.31668937074360165,0.241127517486205,-1.3133688516563422,0.1890586881252907,0.6005944258989968,Oligodendrocyte,0.221418702793949
Bace1,22.495493,-0.04744375291385929,0.2981604118595413,-0.1591215702244512,0.8735730941511701,0.979057618226816,Oligodendrocyte,0.009191748910212443
Bace2,3.1983972,1.583073840063377,0.8585645544017783,1.8438611656480681,0.06520337591571211,0.3513419166213943,Oligodendrocyte,0.45427003389311327
Bach1,3.7380254,-0.46755627377425796,0.7678991603936591,-0.6088771780067683,0.5426058524415458,0.867975875940216,Oligodendrocyte,0.06149234520558102
Bach2,55.84797,0.8025674574962641,0.21544344550623468,3.7251885552166346,0.0001951692826305043,0.004693247219961774,Oligodendrocyte,2.328526568430299
Bag6,3.179904,0.15889657981188504,0.7679445410702688,0.2069115298227579,0.8360789518714837,0.9707967888553884,Oligodendrocyte,0.012871668871511857
Bahcc1,4.717869,0.27209637811598386,0.7292032853348592,0.37314200798071523,0.7090427549495606,0.932377156708999,Oligodendrocyte,0.03040837525952427
Banp,8.93648,0.363779236297409,0.49693277915560075,0.7320491856374434,0.4641385472789976,0.8304924341741504,Oligodendrocyte,0.08066431963809466
Bap1,2.5727105,0.17748822175448206,0.8271714674493987,0.21457246621643133,0.8301006626924354,0.9690038575347447,Oligodendrocyte,0.013674494050660124
Baz1b,20.45122,-0.6348373652243446,0.29115883750188076,-2.1803815768437524,0.029229188616913853,0.21804548004734278,Oligodendrocyte,0.6614529115626399
Baz2a,11.030411,-0.15654937365263388,0.43044470613445196,-0.3636921802535417,0.716087883310823,0.9341042272774436,Oligodendrocyte,0.029604662521499233
Baz2b,151.75418,0.3459005388188212,0.081334742928732,4.25280177158622,2.1111244154056193e-05,0.0007191897175148477,Oligodendrocyte,3.143156530477393
Bbip1,4.496785,-0.3028367721673967,0.6661009429739505,-0.45464095999521786,0.6493675620644821,0.910727701105342,Oligodendrocyte,0.04061145352602452
Bbof1,2.85919,0.23762787146841333,0.6376434145676906,0.3726657659116895,0.7093972187612596,0.932377156708999,Oligodendrocyte,0.03040837525952427
Bbs2,5.208778,-0.48498261129764236,0.6621889666748854,-0.7323930716226417,0.463928686381468,0.8304924341741504,Oligodendrocyte,0.08066431963809466
Bbs4,2.786311,0.21112677259421458,0.7935922991682538,0.26603934137905794,0.7902089103991462,0.9572284540651902,Oligodendrocyte,0.01898440025936019
Bbs7,4.012925,0.6957186004497609,0.6658105461402585,1.0449197665655507,0.29606005325480833,0.7227071045216898,Oligodendrocyte,0.14103767595945269
Bbs9,19.523972,-0.06224541149611102,0.28943638134638616,-0.2150573165908198,0.8297226316722816,0.968989124922522,Oligodendrocyte,0.013681097059288529
Bbx,11.884619,-0.39495496853199635,0.3052366439076081,-1.2939303861942117,0.19568946752761562,0.6064772491269254,Oligodendrocyte,0.21718548624663875
Bcap29,4.7216344,0.7476271133077713,0.7277958022749952,1.0272484548149166,0.30430348705621446,0.7273681354822966,Oligodendrocyte,0.13824572842197608
Bcap31,3.0101962,-1.4233275658852322,0.880674542977935,-1.6161788452205699,0.10605565120806355,0.45637421277743556,Oligodendrocyte,0.3406789031777092
Bcar1,15.081369,-0.5381488948621164,0.37177647286819393,-1.447506591017949,0.1477550918021447,0.5412390817985372,Oligodendrocyte,0.26661085140065416
Bcas1,154.84195,-0.28294874119358177,0.1561453735830352,-1.8120853324105364,0.0699730123759378,0.3653793151743395,Oligodendrocyte,0.4372560425333436
Bcas1os2,4.854315,0.8184979751660245,0.6041045873930674,1.3548944872247093,0.17545117630755092,0.5800113651767576,Oligodendrocyte,0.23656349646259178
Bcas3,72.77147,-0.23223230197937256,0.17579249091387333,-1.3210592828629466,0.18648159810090126,0.5955756039347534,Oligodendrocyte,0.22506310019708176
Bcat1,12.120635,1.5874353537319459,0.4888844960070873,3.2470560361336003,0.0011660542916553979,0.021217343965670328,Oligodendrocyte,1.6733089829817576
Bccip,2.7367702,0.04326499301050606,0.8040534392533673,0.053808603879216446,0.957087654548208,0.9946902193608017,Oligodendrocyte,0.0023121523895457876
Bche,12.559468,0.11412079579338823,0.4219512842208375,0.2704596479759986,0.7868066567309717,0.9560837042376018,Oligodendrocyte,0.01950408398210971
Bckdha,3.6724124,-0.6594327082216946,0.5608189283734111,-1.1758388935521509,0.23965926105796442,0.6651477838345408,Oligodendrocyte,0.1770818515791221
Bckdhb,33.191513,1.7881870672748492,0.19454018922748353,9.191864541592746,3.860900642470491e-20,2.1241533215741665e-17,Oligodendrocyte,16.672814139045162
Bcl2l1,59.666626,-0.12592351857693762,0.2662604823537916,-0.4729335628920618,0.6362605788650186,0.9076456217491905,Oligodendrocyte,0.042083682932568464
Bcl2l13,4.0339665,1.3005723727302745,0.7712442535365218,1.686330065691292,0.09173224318847889,0.4223361531499853,Oligodendrocyte,0.3743417401675779
Bcl7a,8.039092,-0.6924615384439778,0.3848241065517649,-1.7994234941485685,0.07195171592524259,0.3684964866506547,Oligodendrocyte,0.4335666484711644
Bcl9,25.306074,0.0815927122359839,0.2831072157730491,0.28820428336023807,0.7731903701869131,0.9510079160491494,Oligodendrocyte,0.021815868044546393
Bcl9l,7.266813,-0.36898321378487803,0.5085430291470747,-0.7255693080755319,0.4681028420803828,0.8316097886768715,Oligodendrocyte,0.08008040733560137
Bclaf1,28.474888,-0.047998120791155965,0.19146930823924335,-0.25068310546764866,0.802059123571191,0.9617181356547797,Oligodendrocyte,0.016952194143631832
Bclaf3,7.928005,-0.44120737100250806,0.48816859121175515,-0.9038012255301437,0.3661008117945408,0.7690659283086588,Oligodendrocyte,0.1140364286337286
Bcor,6.075502,0.3530873032791225,0.5575973026695961,0.633229934199205,0.5265835005303461,0.8645274498666886,Oligodendrocyte,0.06322121275862883
Bcorl1,15.394819,-0.39015363506385164,0.32663872098515667,-1.1944500452583553,0.2323019704986865,0.6570707405565474,Oligodendrocyte,0.1823878715672959
Bcr,3.92383,0.013114872676105931,0.7465510063872388,0.01756728282983949,0.9859840571672003,0.9978546029464825,Oligodendrocyte,0.0009327350034429698
Bdp1,19.991577,0.26587772101588425,0.22869997960091296,1.1625611925276396,0.24500758369790954,0.6722087262799021,Oligodendrocyte,0.17249585403463058
Becn1,4.666146,0.4434430699695205,0.6274602286183902,0.7067269760602061,0.4797361621683728,0.836197312796038,Oligodendrocyte,0.07769123243225276
Bet1,2.6232693,0.5640071644850804,0.8914754416306606,0.6326670799292183,0.5269510718924086,0.8645343915030563,Oligodendrocyte,0.06321772564868543
Bfsp2,11.0126295,-2.390133858214195,0.5781037659015134,-4.134437447379269,3.5582514995380324e-05,0.0011364165726649592,Oligodendrocyte,2.9444624414710474
Bhlhe41,3.30112,-0.6110749443522892,0.7730274041616155,-0.7904958363216483,0.4292382528860893,0.8056593102838996,Oligodendrocyte,0.09384856978701618
Bicc1,14.375286,-1.6939597762585665,0.42972216182995937,-3.9419883979101473,8.080888641962449e-05,0.0022626488197494857,Oligodendrocyte,2.6453828466109504
Bicd1,34.30748,-0.18312474980032517,0.2385625228706011,-0.7676174262277317,0.44271450633148013,0.8154136497430168,Oligodendrocyte,0.08862202288330417
Bicd2,16.073519,-0.6549868943113428,0.2695187946959457,-2.4302086058608943,0.015090134753817904,0.1423580097083252,Oligodendrocyte,0.8466180924491278
Bicra,19.721455,-0.2621296584561704,0.31616019473473583,-0.8291039252303789,0.40704560282208746,0.7936474212326359,Oligodendrocyte,0.10037239054595545
Bicral,16.37954,-1.300283560970947,0.37850409838037635,-3.435322276654008,0.0005918495259568058,0.01209740431055711,Oligodendrocyte,1.9173078044382994
Bin1,162.0589,-0.7562414716403038,0.10933934279757673,-6.916462567736087,4.630606991099506e-12,8.112823448406335e-10,Oligodendrocyte,9.090827975053479
Bin3,7.4477105,0.26559273421660723,0.4145927061822524,0.6406112077134669,0.5217753159924526,0.8627029853450987,Oligodendrocyte,0.06413869910288732
Birc2,5.493372,0.47361635824429066,0.6057921533035104,0.7818132929942427,0.4343243076963256,0.8098294912916667,Oligodendrocyte,0.09160641172169086
Birc6,46.076523,-0.09513761371733462,0.15093337326955414,-0.6303285460096817,0.5284796500114919,0.8651354812450907,Oligodendrocyte,0.06291587617704235
Bivm,2.9914253,0.3199115281008945,0.8430774609009527,0.37945686243233434,0.7043486319713679,0.9299400312549797,Oligodendrocyte,0.03154505675227944
Blm,4.6335955,-0.1958694728001905,0.6342338414348051,-0.30882847934616964,0.7574520039993199,0.9474715512919257,Oligodendrocyte,0.023433821256902156
Blmh,3.0206914,-0.5496488259451145,0.8411557989962044,-0.6534447323564071,0.513469608563083,0.8585512420078383,Oligodendrocyte,0.06623377917851948
Bloc1s5,2.620447,1.2460750316693956,0.8445321243971506,1.4754619696188311,0.14008838547095478,0.5235679114562312,Oligodendrocyte,0.2810269784401033
Bltp1,49.632042,0.11272706040331898,0.17666009998672852,0.6381014185534115,0.5234076632173225,0.8636032831026347,Oligodendrocyte,0.06368571530648733
Bltp2,9.517489,0.6225087324705123,0.503759821809114,1.2357252514401493,0.2165607079935853,0.6347754595681956,Oligodendrocyte,0.1973798714258983
Blzf1,3.2802405,-0.4358395848031817,0.7210372602711657,-0.6044619450585291,0.5455365625490404,0.8680405859076229,Oligodendrocyte,0.061459968575059816
Bmerb1,2.6997411,1.1010221932335074,0.722454025126276,1.52400312676099,0.1275079301167404,0.5076275040255563,Oligodendrocyte,0.2944548552082854
Bmi1,2.638123,-0.2729643615208141,0.6185502937928445,-0.44129695557501614,0.6589980298478599,0.914553251047083,Oligodendrocyte,0.03879100209286616
Bmp1,14.978776,0.46008741829996597,0.4342592958855883,1.0594762683472465,0.2893829315596512,0.7158483860438503,Oligodendrocyte,0.1451789498666054
Bmp2k,33.856316,-0.338443452826564,0.27938794444338394,-1.2113745763112098,0.22575187860292723,0.6488012651856052,Oligodendrocyte,0.18788831190634675
Bmpr1a,14.284289,-0.013275041737865161,0.2800595254179577,-0.04740078637944429,0.9621938022863035,0.9946902193608017,Oligodendrocyte,0.0023121523895457876
