gene_name,L_15_1,L_15_2,L_16_1,L_16_2,L_13_1,L_13_2,L_11_2,L_11_1,L_12_1,L_12_2
Serpinb6e,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Dusp22,6.0,6.87,6.4,6.97,6.34,6.06,9.27,8.59,5.61,5.94
Prl2b1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Prl6a1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.0,0.0
Hist1h3a,6.56,5.57,5.82,3.93,7.24,2.73,3.27,6.43,5.69,4.63
Hist1h4b,2.35,3.53,4.62,2.99,4.81,3.19,3.08,2.92,3.77,4.77
Hist1h3b,11.79,13.38,12.35,12.22,25.57,8.94,4.24,6.06,13.91,12.67
Hist1h2bf,3.49,5.79,5.08,3.14,11.06,4.35,1.37,1.34,8.28,5.9
Hist1h2ac,1.24,1.01,1.05,1.31,0.9,0.77,0.61,1.08,0.76,1.06
Hist1h2ae,65.14,87.01,82.68,53.86,104.82,81.95,47.19,45.86,91.16,88.35
Hist1h3e,2.34,3.84,2.93,3.58,5.86,3.77,4.28,2.53,5.21,4.07
Hist1h4f,2.15,1.25,2.48,2.05,3.63,0.85,0.51,1.01,1.34,0.96
Vmn1r223,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Vmn1r203,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Vmn1r199,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Vmn1r197,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Vmn1r196,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Vmn1r195,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Vmn1r194,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Vmn1r188,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Hist1h2bj,16.0,15.22,19.41,11.32,14.47,10.01,8.61,9.66,14.35,12.12
Hist1h2ag,11.33,19.63,17.84,11.07,16.1,15.44,28.28,19.24,23.64,20.04
Hist1h2ah,8.29,9.94,16.06,11.57,15.87,3.15,10.26,7.82,7.84,14.86
Hist1h2br,22.14,25.61,28.76,20.91,31.0,19.4,9.73,14.38,22.04,21.24
Hist1h4n,23.1,29.23,34.49,21.61,18.71,12.8,11.82,10.65,21.21,17.39
Hist1h4m,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Hist1h2bq,21.8,24.0,27.09,21.53,29.88,18.99,9.8,14.24,20.48,21.94
Hist1h2bp,4.73,5.91,6.49,3.21,3.3,2.42,1.21,0.63,3.03,4.7
Hist1h2an,9.5,12.77,12.04,8.57,13.79,5.02,4.46,9.22,11.78,9.39
Hist1h3c,5.52,6.3,6.35,3.74,5.11,4.49,4.67,4.89,5.61,4.0
Gm7731,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Gm5096,1.67,2.18,2.36,2.67,0.59,0.57,0.31,0.0,0.3,0.43
Gm5152,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ctxn3,0.06,0.04,0.0,0.02,0.02,0.06,0.04,0.14,0.0,0.03
Gm5507,0.13,0.35,0.2,0.38,0.39,0.36,0.51,0.83,0.46,0.29
Prdm6,0.34,0.29,0.15,0.38,0.52,0.66,4.17,4.46,1.67,1.95
Gm4950,0.12,0.21,0.25,0.22,0.69,1.03,0.46,0.34,0.66,0.73
Gm10267,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Olfr707,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Olfr810,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Olfr9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Gm8444,0.0,0.0,0.0,0.16,0.0,0.0,0.0,0.0,0.11,0.12
Dsg1a,0.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Rdh16,0.02,0.03,0.04,0.03,0.01,0.04,0.02,0.0,0.0,0.0
Gm6020,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Zfp616,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Epc2,1.84,1.77,1.69,1.5,1.78,1.96,3.3,4.35,2.38,2.57
Lyz1,0.16,0.21,0.14,0.21,0.02,0.02,0.04,0.0,0.05,0.03
Lyz2,627.46,566.84,565.35,603.83,138.13,129.78,71.32,62.87,96.37,100.74
Gm10271,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Tmem19,7.19,7.74,8.12,8.37,8.88,11.6,17.52,15.43,14.02,12.57
Scyl2,3.16,3.5,2.75,2.48,3.72,4.37,10.25,8.5,5.17,6.16
Gm4925,0.04,0.11,0.03,0.12,0.09,0.02,0.17,0.15,0.04,0.2
I830134H01Rik,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01
Dazap1,23.58,22.6,18.26,17.92,30.09,28.9,37.9,40.13,37.15,38.36
