gene_name,H9_1,H9_2,PP_1,PP_2,PC_1,PC_2,OC_2,OC_1,NC_1,NC_2,EC_1,EC_2
ZMAT1,0.95,1.16,5.31,5.24,1.96,0.66,1.71,1.88,2.16,2.01,2.26,2.98
XRRA1,1.93,2.08,4.52,5.5,3.65,2.16,6.01,4.62,2.47,3.57,2.94,3.27
TRIM66,0.92,0.95,3.94,4.14,2.46,3.58,3.72,3.89,4.5,2.78,1.52,2.11
RNF169,5.94,5.95,10.04,10.57,7.77,7.05,5.77,6.24,10.27,10.07,7.15,8.3
RPL27A,524.06,527.03,312.34,329.44,363.12,411.71,303.41,287.12,316.44,304.79,538.94,506.46
ST5,18.84,19.59,44.8,46.3,29.79,15.77,63.68,73.27,30.11,33.93,31.65,34.58
CDYL2,2.48,1.93,8.3,7.65,3.4,2.64,0.66,0.71,2.29,1.93,5.61,5.81
TMEM130,0.5,0.76,0.25,0.09,0.5,0.07,0.62,0.57,0.36,0.26,0.2,0.07
PRTG,1.99,2.59,36.49,44.09,21.41,6.02,0.79,0.86,141.57,143.0,12.01,14.83
CENPN,37.94,35.94,11.44,11.64,12.84,8.17,3.74,2.75,29.15,28.41,19.49,20.52
AKIP1,10.15,9.62,6.54,7.45,6.82,6.26,12.12,11.04,13.83,12.73,10.72,9.57
ATMIN,25.75,30.49,20.9,21.21,19.47,25.95,13.03,15.01,21.6,22.04,23.89,24.39
C16orf46,0.39,0.91,1.6,1.32,1.82,2.13,0.17,0.58,0.79,0.92,0.71,1.32
TMEM41B,22.13,22.3,21.63,23.55,19.26,20.83,12.03,10.74,16.23,14.32,27.83,30.93
PKD1L2,0.54,0.72,0.08,0.22,0.27,0.93,0.02,0.11,0.09,0.04,0.56,0.77
LEO1,12.96,13.86,10.71,11.12,12.44,10.84,7.22,6.86,14.99,14.0,11.83,11.64
ZNF143,10.58,13.36,17.8,22.9,12.56,16.33,8.22,10.25,15.39,16.75,17.11,15.73
TMX3,17.33,18.09,17.06,18.21,17.41,11.99,29.17,29.45,21.4,20.35,19.03,23.28
MFAP4,0.91,0.69,0.97,1.11,7.45,1.09,31.93,28.11,0.19,0.11,12.87,16.73
WEE1,61.95,64.81,64.37,80.62,33.17,43.83,41.23,29.79,31.59,28.56,40.42,36.4
MAPK7,20.76,20.02,17.47,17.58,18.33,13.5,13.79,12.98,17.39,16.83,19.78,24.28
FAM86GP,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07,0.0,0.04
PRKCB,3.53,3.22,0.15,0.12,4.22,0.4,0.0,0.0,0.35,0.33,0.63,0.49
HDGFL3,55.49,54.99,50.43,52.49,32.62,23.5,34.82,38.54,57.12,54.27,48.15,55.7
NDST2,10.45,10.05,16.69,16.34,13.86,11.38,14.56,12.34,12.13,15.31,8.4,9.24
MCM7,176.34,178.55,88.45,100.75,101.0,50.93,28.97,28.04,184.87,182.58,110.06,110.02
CLEC3A,0.0,0.03,0.0,0.0,0.02,0.05,0.0,0.0,0.0,0.0,0.0,0.0
CCDC68,0.0,0.01,0.92,1.32,0.01,1.04,0.0,0.09,0.0,0.0,0.25,0.24
CLEC4E,0.08,0.0,0.0,0.0,0.0,0.06,0.0,0.0,0.0,0.0,0.0,0.0
ZNF3,28.64,27.63,39.71,41.35,27.59,22.19,13.19,15.0,31.81,28.77,16.41,18.14
CLEC4D,0.22,0.19,0.06,0.0,0.0,0.07,0.0,0.0,0.0,0.0,0.31,0.3
ZSCAN21,10.7,11.11,9.52,9.33,6.79,5.02,5.17,5.57,8.47,8.72,11.25,10.33
HSBP1P2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
RIMKLB,36.58,40.12,64.11,64.56,24.76,27.4,12.11,10.14,28.21,28.35,72.59,81.96
A2ML1,1.86,1.27,0.08,0.17,1.59,10.93,0.01,0.0,0.0,0.0,1.96,3.24
BEAN1,0.06,0.11,0.04,0.16,0.46,1.36,0.36,0.15,0.68,0.66,0.03,0.08
TK2,2.87,2.37,6.71,7.88,7.62,6.14,12.37,14.32,5.53,6.98,2.7,3.57
TMED3,20.2,21.24,20.59,24.22,36.27,87.47,38.11,45.93,15.73,14.74,19.65,20.38
SLC38A8,0.08,0.16,0.1,0.36,0.08,0.06,0.0,0.0,0.05,0.07,0.03,0.05
SEC11C,16.17,17.37,38.36,38.81,29.2,42.31,11.6,10.8,24.24,23.29,23.13,18.13
CPLX4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GALR1,0.01,0.03,1.22,1.82,0.03,0.06,0.0,0.0,0.0,0.0,0.01,0.02
TMEM135,9.55,11.51,13.77,17.06,14.05,19.52,9.2,10.84,18.79,16.94,47.56,51.4
