gene_name,H9_1,H9_2,PP_1,PP_2,PC_1,PC_2,OC_2,OC_1,NC_1,NC_2,EC_1,EC_2
AC023575.1,0.0,0.12,0.28,0.96,0.0,0.0,0.0,0.0,0.0,0.0,0.61,1.15
RN7SL356P,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LINC01443,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MIR3145,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MIR4530,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MAGEA10-MAGEA5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AC011195.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
EIF1P5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MIR4418,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
RN7SL377P,0.17,0.0,0.0,0.0,0.21,0.0,0.0,0.24,0.23,0.0,0.35,0.0
MIR5579,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AC018697.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1
BOLA2P1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AP001025.1,0.08,0.0,0.05,0.0,0.1,0.0,0.0,0.0,0.0,0.04,0.0,0.0
FO680682.1,0.0,0.26,0.3,0.0,0.0,0.0,0.16,0.0,0.0,0.0,0.13,0.3
MIR4254,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MIR3166,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MIR4527,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MIR4478,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AC091027.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AC006441.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09
MIR4512,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MIR4713,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MIR4766,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AC037487.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AC079336.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AC018521.6,0.26,0.0,0.0,0.0,0.16,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AC008109.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LINC01887,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04,0.0,0.03,0.0
LONRF2P1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
RN7SL176P,0.04,0.41,0.08,0.41,0.0,0.0,0.0,0.26,0.0,0.0,0.37,0.0
MIR4703,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
RFWD2P1,0.0,0.0,0.02,0.0,0.04,0.0,0.06,0.04,0.0,0.03,0.03,0.07
AC103808.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MIR3692,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MIR4742,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MIR4642,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
RN7SL202P,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MIR3972,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MIR4754,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AC024267.6,0.03,0.03,0.0,0.0,0.0,0.0,0.08,0.0,0.04,0.0,0.0,0.07
MIR3677,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AC103810.5,0.03,0.03,0.32,0.0,0.17,0.08,0.0,0.09,0.26,0.2,0.0,0.16
MIR4299,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AC053481.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SETP3,1.07,1.32,1.02,0.46,0.86,0.55,0.38,0.24,1.24,0.75,0.84,0.89
MIR3126,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AC093484.4,0.15,0.0,0.54,0.2,0.0,0.35,0.0,0.0,0.0,0.0,0.15,0.0
AC129510.2,0.0,0.0,0.0,0.0,0.0,0.15,0.0,0.0,0.0,0.0,0.0,0.0
MIR3908,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MIR3169,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AC007952.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MIR4739,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MIR4325,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AC005703.4,0.0,0.0,0.0,0.19,0.17,0.0,0.0,0.0,0.09,0.07,0.0,0.08
MIR5692C2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AC233702.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MIR4297,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AC087164.1,0.08,0.08,0.18,0.0,0.02,0.03,0.0,0.1,0.04,0.03,0.15,0.19
AL135905.1,0.47,0.89,2.55,3.21,1.17,2.58,0.57,0.88,0.28,0.6,0.68,0.66
MIR4274,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AC138761.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
RF00285,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
OR4K8P,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AC044840.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MIR3945,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MIR4490,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MIR4498,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MIR4437,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PSMD7P1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AP001793.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MGC12916,0.73,0.75,2.52,1.84,1.99,1.04,5.21,4.85,6.85,6.74,0.94,1.25
RN7SL48P,0.16,0.0,0.0,0.21,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.19
AC021534.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MIR3149,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MYO15B,16.11,19.17,140.76,151.52,19.95,20.61,15.18,16.26,10.23,10.15,39.53,55.9
AC134407.1,0.0,0.0,0.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06
AC079336.5,0.0,0.0,0.0,0.01,0.02,0.0,0.0,0.0,0.02,0.0,0.0,0.0
MIR4676,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
RN7SL14P,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MIR5695,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AC015688.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DSG1-AS1,0.0,0.0,0.0,0.0,3.81,18.67,0.0,0.0,0.0,0.0,0.0,0.0
TBC1D29,0.06,0.06,0.13,0.11,0.15,0.01,0.03,0.0,0.06,0.1,0.03,0.05
GTF2IP6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MIR4757,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MIR4708,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AC103808.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AC005304.3,0.07,0.08,0.27,0.1,0.19,0.09,0.09,0.0,0.1,0.3,0.0,0.18
MIR3135A,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AC209154.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MIR4645,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MIR3661,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
RN7SL524P,0.15,0.31,0.0,0.0,0.0,0.0,0.0,0.21,0.0,0.0,0.0,0.0
MIR5680,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MIR3680-2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MIR4464,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MIR3194,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AC137735.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AP000897.2,0.0,0.0,0.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03,0.0
RN7SL619P,0.19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AC015688.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AC116003.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AC011840.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MIR4646,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SH3GL1P1,2.5,3.19,3.56,3.76,2.64,1.4,2.79,2.63,3.38,3.31,2.02,3.08
MIR4444-2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MIR3663,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AP005136.2,0.26,0.46,0.77,0.7,0.56,0.11,0.29,0.45,0.47,0.43,0.57,0.55
LGALS9DP,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
RN7SL7P,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AC009137.2,0.34,0.23,0.14,0.38,0.28,0.0,0.07,0.16,0.22,0.17,0.23,0.07
MIR4419A,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AC127540.1,0.05,0.11,0.06,0.28,0.19,0.0,0.2,0.14,0.34,0.21,0.0,0.25
AP005432.1,0.06,0.07,0.09,0.16,0.11,0.11,0.21,0.13,0.07,0.08,0.1,0.29
AC087575.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MIR548H5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MIR548AE1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PPIAP57,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AP005901.4,0.0,0.0,0.0,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
KPNA2P3,0.29,0.37,1.32,2.1,1.29,3.57,1.43,2.24,0.0,0.86,0.95,0.69
AC018521.7,0.0,0.0,0.04,0.07,0.04,0.01,0.0,0.06,0.01,0.04,0.06,0.04
AC129492.4,0.08,0.09,0.0,0.11,0.1,0.0,0.0,0.0,0.0,0.0,0.09,0.0
AC011195.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MIR3689E,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
RN7SL712P,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AC061975.6,0.06,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.0
GAPLINC,0.19,0.27,0.18,0.08,0.22,0.17,0.22,0.24,0.16,0.0,1.21,1.09
AC008088.1,0.0,0.0,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AC068254.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AC093330.1,0.18,0.85,1.68,1.05,0.92,0.82,0.28,0.53,1.01,1.26,1.6,1.85
AP001021.2,0.0,0.0,0.0,0.09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AC090912.2,0.11,0.11,0.0,0.0,0.0,0.0,0.0,0.0,0.14,0.18,0.11,0.26
MIR4482,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ITM2BP1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MIR3910-1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
RPSAP67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
RN7SL123P,0.0,0.16,0.0,0.21,0.0,0.0,0.0,0.0,0.0,0.0,0.16,0.19
AC138207.8,1.29,0.67,2.22,4.0,1.74,2.85,2.78,2.48,2.52,2.01,1.18,1.01
AC005993.1,2.04,1.69,0.49,0.56,0.0,1.32,0.13,0.0,1.35,1.26,2.87,3.62
AC015688.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
RN7SL408P,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AC104996.2,0.0,0.0,0.0,0.05,0.0,0.0,0.0,0.0,0.09,0.04,0.0,0.0
AC007923.4,0.0,0.0,0.0,0.09,0.0,0.0,0.0,0.27,0.0,0.0,0.0,0.16
AC132825.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MIR4535,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MIR4634,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AP000902.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AC005394.1,0.0,0.0,0.0,0.04,0.0,0.0,0.0,0.0,0.03,0.0,0.05,0.0
AL354892.3,0.2,0.29,0.79,0.46,0.5,0.42,0.54,0.64,0.5,0.47,0.21,0.17
AC005546.1,0.63,1.72,1.13,1.28,0.26,0.37,0.4,0.15,1.1,0.64,0.54,1.02
AKR1B1P7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AC027514.1,0.28,0.65,0.71,0.72,0.36,0.36,0.21,0.57,0.56,0.37,0.5,0.69
AC068473.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AC243964.2,0.3,0.37,0.2,0.24,0.28,0.16,0.0,0.23,0.0,0.17,0.13,0.23
LINC00663,0.5,0.56,2.28,2.0,2.15,2.43,2.38,2.16,1.18,1.4,1.61,1.49
AC114684.1,0.24,0.0,0.14,0.49,0.15,0.0,0.0,0.0,0.0,0.0,2.13,4.41
AC005357.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AC006116.1,0.03,0.02,0.18,0.06,0.04,0.0,0.06,0.06,0.04,0.03,0.03,0.07
AL109935.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SLC25A6P4,0.07,0.07,0.08,0.09,0.0,0.08,0.0,0.19,0.0,0.21,0.0,0.0
AC008507.1,0.46,0.76,1.22,2.39,1.33,0.54,0.65,0.45,1.28,0.95,0.58,1.69
LINC01841,0.13,0.0,0.48,0.19,0.25,0.0,0.0,0.0,0.27,0.34,0.27,0.24
MRPS5P4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ZNF793-AS1,1.92,1.34,3.96,3.76,4.12,2.82,0.45,1.04,4.29,3.96,1.97,2.26
AC091132.3,0.17,0.15,0.88,0.5,0.42,0.1,0.2,0.41,0.48,0.35,0.25,0.24
AC104984.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ACTBP9,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AC006213.1,0.04,0.11,0.15,0.12,0.2,0.19,0.26,0.18,0.2,0.23,0.09,0.08
AC008543.3,0.0,0.0,0.56,0.74,0.68,0.82,0.1,0.11,0.31,0.32,0.16,0.38
AC063949.2,0.05,0.06,0.0,0.02,0.0,0.0,0.0,0.0,0.09,0.04,0.03,0.0
AC021594.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AC015818.8,0.06,0.02,0.0,0.0,0.03,0.03,0.03,0.0,0.0,0.0,0.07,0.03
AC020905.1,0.0,0.0,0.0,0.0,0.24,0.0,0.0,0.0,0.0,0.0,0.07,0.0
AC067852.1,0.11,0.0,0.28,0.0,0.0,0.0,0.0,0.0,0.14,0.0,0.0,0.0
AC092651.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AC006116.2,0.0,0.07,0.12,0.05,0.04,0.04,0.13,0.14,0.18,0.04,0.04,0.13
AC005775.1,0.2,0.08,0.1,0.28,0.46,0.19,0.36,0.28,0.27,0.38,0.21,0.15
AC005746.1,0.56,0.31,0.42,0.5,0.71,0.23,0.78,0.91,0.33,0.31,0.48,0.58
AC011442.1,0.0,0.0,0.0,0.0,0.43,0.94,0.0,0.0,0.0,0.0,0.0,0.0
AC119403.2,0.06,0.06,0.07,0.0,0.0,0.07,0.08,0.0,0.0,0.0,0.0,0.0
AC024592.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
RPSAP66,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AC005262.1,0.0,0.0,0.0,0.0,0.0,0.27,0.15,0.0,0.0,0.0,0.12,0.0
MRPL37P1,0.3,0.3,0.15,0.44,0.22,0.2,0.32,0.58,0.23,0.13,0.13,0.24
AC022916.1,0.13,0.14,0.81,0.84,0.42,1.05,0.37,0.35,0.55,0.39,0.19,0.29
AC008752.1,0.3,0.31,0.24,0.13,0.0,0.0,0.0,0.14,0.13,0.1,0.0,0.12
AC093072.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LINC01538,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AC092073.1,0.0,0.19,0.0,0.0,0.0,0.0,0.0,0.0,0.14,0.0,0.36,0.42
AP001010.1,0.0,0.07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AP001269.1,0.0,0.0,0.0,0.0,0.09,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AC012254.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.31,0.0,0.0
AC005779.1,0.0,0.0,0.08,0.09,0.0,0.41,0.27,0.0,0.0,0.0,0.0,0.0
AC005786.1,0.0,1.13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.57,0.0,0.0
AP005482.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AC067852.2,8.01,8.0,7.61,7.94,7.74,8.5,6.82,7.61,8.67,8.88,8.1,8.25
AC005625.1,0.16,0.17,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0
FXYD1,3.09,3.53,0.0,0.0,2.21,0.83,0.32,0.08,2.84,1.81,0.84,0.34
AC090220.1,0.4,0.31,0.66,0.78,0.48,0.42,1.81,1.73,0.43,0.47,0.53,0.84
AARSD1,29.67,31.42,24.74,31.46,24.84,15.56,18.82,17.03,28.84,26.41,20.53,23.15
AC023421.1,0.0,0.0,0.33,0.54,0.14,1.15,0.0,0.0,0.02,0.04,0.02,0.0
AP002449.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AC061992.1,0.84,0.57,0.2,0.61,0.36,0.62,0.77,0.23,0.1,0.21,1.62,2.4
OR4F8P,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AC092296.1,0.07,0.0,0.08,0.09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FARSA-AS1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AC079466.1,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AC006504.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AC011511.2,0.0,0.0,0.0,0.0,0.0,0.09,0.0,0.0,0.0,0.0,0.0,0.0
LINC01180,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AC087289.1,0.0,0.04,0.0,0.0,0.0,0.14,0.0,0.0,0.0,0.0,0.04,0.05
AC022916.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AC011444.1,0.0,0.0,0.14,0.0,0.07,0.07,0.0,0.08,0.0,0.06,0.06,0.0
POLR3GP2,0.0,0.11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AC010485.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AC104984.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AC021517.1,0.0,0.0,0.07,0.04,0.04,0.07,0.0,0.0,0.0,0.0,0.0,0.0
FTLP5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AC004528.1,0.39,0.41,0.27,0.15,0.21,0.13,0.14,0.08,0.15,0.0,0.06,0.14
DHX40P1,0.32,0.61,1.16,1.1,0.33,0.26,0.42,0.55,0.59,0.85,0.82,0.51
AL050343.1,0.23,0.11,0.43,0.77,0.38,0.37,0.58,0.23,0.35,0.26,0.04,0.12
AC020663.1,0.0,0.0,0.24,0.09,0.17,0.0,0.0,0.09,0.0,0.0,0.0,0.0
AP001542.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AC090227.1,0.12,0.0,0.12,0.0,0.0,0.0,0.0,0.07,0.0,0.0,0.0,0.0
AC111182.1,0.01,0.02,0.08,0.11,0.08,0.03,0.06,0.05,0.07,0.11,0.07,0.1
AC016229.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08,0.19
AC006538.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AC060780.1,2.16,2.81,7.82,7.73,6.74,4.39,2.37,2.15,3.76,3.49,5.15,6.92
AC018761.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AC002984.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AC008507.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04,0.0,0.0,0.0,0.0
AC012615.2,0.0,0.0,0.0,0.12,0.0,0.0,0.0,0.0,0.12,0.09,0.09,0.0
AC007780.1,0.09,0.2,0.22,0.76,0.4,0.09,0.36,0.0,0.47,0.42,0.18,1.05
AC011498.1,0.23,0.64,0.74,0.16,0.29,0.14,0.49,0.16,0.16,0.2,0.12,0.0
AC011456.1,0.0,0.0,0.0,0.0,0.0,0.08,0.0,0.0,0.0,0.0,0.0,0.0
LINC01929,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LINC01532,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AC023090.1,0.0,0.08,0.0,0.0,0.09,0.09,0.0,0.0,0.0,0.0,0.0,0.0
AC111170.1,0.0,0.0,0.0,0.0,0.0,0.03,0.0,0.0,0.0,0.0,0.0,0.07
NTF6A,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AC067968.1,0.69,0.67,1.46,0.95,0.82,0.56,0.68,0.08,0.62,0.77,0.39,0.74
LRRC37A16P,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2
AC008747.1,0.09,0.18,0.0,0.0,0.0,0.0,0.0,0.12,0.12,0.0,0.09,0.0
AL136084.2,0.0,0.0,0.0,0.0,0.06,0.0,0.0,0.0,0.0,0.0,0.05,0.0
AC011524.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TCF4-AS1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AC011498.2,3.18,4.0,2.41,1.79,1.56,0.81,0.18,0.48,3.2,2.49,1.65,1.86
AP001357.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AC020911.1,0.0,0.0,0.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AC010980.2,0.0,0.0,0.08,0.03,6.35,0.16,0.0,0.0,0.92,1.31,0.1,0.11
AC015911.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AC005559.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
