,Control_78_Day_0_Rep3,Control_78_Day_0_Rep4,Control_78_Day_3_Rep1,Control_78_Day_3_Rep2,FSHD2_19_Day_0_Rep1,FSHD2_19_Day_0_Rep2,FSHD2_19_Day_3_Rep1,FSHD2_19_Day_3_Rep2
ENSG00000284674.1|BX005132.1,0,0,0,0,0,0,0,0
ENSG00000231510.1|AL691497.1,0,0,0,1,0,1,0,1
ENSG00000284616.1|AL139823.1,0,0,0,0,0,0,0,0
ENSG00000284692.2|Z98259.3,1,1,0,2,0,2,1,1
ENSG00000284666.1|Z98259.2,0,0,0,0,0,0,0,0
ENSG00000260972.1|Z98259.1,0,0,0,0,0,0,0,0
ENSG00000283356.1|Z97988.1,0,0,0,0,0,0,0,0
ENSG00000236948.2|AL365255.1,0,0,0,0,0,0,0,0
ENSG00000264341.1|MIR4417,0,0,0,0,0,0,0,0
ENSG00000264101.1|MIR4689,0,0,0,0,0,0,0,0
ENSG00000131697.17|NPHP4,115,132,80,99,129,155,111,138
ENSG00000069424.14|KCNAB2,53,53,31,29,52,97,71,62
ENSG00000116254.17|CHD5,0,1,1,0,4,7,3,2
ENSG00000285629.1|AL031847.2,0,2,2,0,0,0,0,0
ENSG00000116251.10|RPL22,3036,2863,2174,3268,2667,2237,3076,2325
ENSG00000226944.1|AL031847.1,3,1,0,2,2,6,1,2
ENSG00000158286.12|RNF207,13,7,28,34,24,16,27,17
ENSG00000116237.15|ICMT,1898,1880,2363,3245,1362,1653,872,1373
ENSG00000225077.3|LINC00337,8,2,10,12,13,11,2,8
ENSG00000173673.7|HES3,0,0,0,0,0,0,0,0
ENSG00000158292.6|GPR153,202,237,320,461,131,101,305,353
ENSG00000097021.19|ACOT7,1478,1697,1365,1856,2236,2042,1996,1700
ENSG00000271746.1|AL031848.2,0,0,0,0,0,0,0,0
ENSG00000069812.11|HES2,8,4,80,123,8,3,41,50
ENSG00000187017.16|ESPN,0,0,3,1,1,0,3,6
ENSG00000265392.1|MIR4252,0,0,0,0,0,0,0,0
ENSG00000231868.1|AL031848.1,0,0,0,1,1,0,0,0
ENSG00000215788.10|TNFRSF25,19,17,84,84,17,17,434,284
ENSG00000171680.21|PLEKHG5,64,44,460,617,69,90,1318,1487
ENSG00000162408.10|NOL9,288,247,205,408,411,348,403,550
ENSG00000253022.1|RNU6-731P,0,0,0,0,0,0,0,0
ENSG00000229519.2|AL591866.1,1,0,1,0,1,0,0,0
ENSG00000173662.20|TAS1R1,40,62,204,223,18,56,779,558
ENSG00000204859.12|ZBTB48,96,133,121,145,97,140,196,154
ENSG00000162413.16|KLHL21,1090,1266,1787,2599,718,1023,2333,2728
ENSG00000116273.5|PHF13,256,294,216,274,285,259,202,199
ENSG00000041988.15|THAP3,196,243,187,274,258,236,254,185
ENSG00000007923.15|DNAJC11,896,986,908,1132,718,980,804,903
ENSG00000228750.6|LINC01672,3,3,2,4,6,3,0,3
ENSG00000284744.1|AL591163.1,1,0,1,4,0,0,0,0
ENSG00000237436.1|CAMTA1-DT,0,0,1,0,0,0,0,0
ENSG00000171735.18|CAMTA1,477,477,490,701,426,473,390,407
ENSG00000227950.1|AL590128.1,1,0,1,0,0,0,0,0
ENSG00000237365.1|AL512330.1,0,0,0,0,0,0,0,0
ENSG00000207056.1|RNU1-8P,0,0,0,0,1,0,0,0
