gene_name,Control-1 Day 3 Rep 1,Control-1 Day 3 Rep 2,Control-1 Day 5 Rep 1,Control-1 Day 5 Rep 2,FSHD2-1 Day 3 Rep 1,FSHD2-1 Day 3 Rep 2,FSHD2-1 Day 5 Rep 1,FSHD2-1 Day 5 Rep 2
RNU7-137P,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
RF00019,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PET117,166.343,211.982,182.346,200.323,216.342,211.14,192.352,234.333
KAT14,400.6575,415.01745000000005,369.6537,306.6772356471,437.65876,456.85987,367.648196,381.66725
AL050321.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
RN7SL14P,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
RNU2-56P,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ZNF133,162.06738009235218,146.03003019119998,97.21189,133.00005358,164.049973,160.15537999999998,157.2137820018,153.2586
RN7SKP74,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AL049646.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AL049646.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LINC00851,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DZANK1,51.32978,36.61771,32.41764,25.26481,48.70424,52.189191,58.0459007,40.6395621
GCNT1P1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
RNA5SP476,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
POLR3F,202.0005,253.9997,213.00037,203.99991000000003,264.99982,265.99962,243.00002,253.00038
MIR3192,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
RPL21P3,1.16081,1.39282,0.0,6.43509,1.07126,1.22541,0.0,2.47012
RBBP9,221.765,244.8966,165.6384,177.4454,208.42408,209.9069,184.5031,224.2385
RPS19P1,1.00724,1.00531,1.00644,1.00629,0.0,2.00869,0.0,0.0
SEC23B,715.99994,797.05988,533.00143,447.53821,849.82447,722.29847,596.9997,660.10105
SMIM26,713.2072900000001,749.4179999999999,772.98882,720.4870000000001,961.7325,879.3856600000001,834.56083,946.434
AL121900.2,39.6543,46.9926,15.7488,45.5376,22.5304,50.8825,52.4792,44.8175
DTD1,543.4196,546.87472,447.13427,412.2076,599.0147000000001,604.58061,421.2188,472.98442
RN7SL638P,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
RNU6ATAC34P,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DUXAP7,1.0744,0.0,0.0,0.0,0.0,0.0,0.0,1.01211
AL121900.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
EEF1A1P34,0.0,0.0,0.0,1.00003,1.00002,0.0,0.0,0.0
LINC00652,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LINC00653,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
C20orf78,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SCP2D1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AL135936.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SLC24A3,11.0,17.0,53.0,48.0,27.0,20.00002,81.0,78.0
AL136090.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AL049647.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AL121830.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AL121761.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
