gene_name,TC_M_43_1,TC_M_43_2,TC_F_21_1,ATC_M_43_2,ATC_M_43_1,ATC_F_21_3,ATC_F_21_4,ATC_F_21_1,ATC_F_21_2
KIAA1549L,0.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,1.0
FBXO3,2211.0,2268.0,2436.0,904.0,765.0,758.0,781.0,728.0,661.0
PDHX,349.0,367.0,410.0,726.0,601.0,641.0,655.0,688.0,616.0
SLC1A2,3.0,4.0,3.0,6.0,7.0,9.0,2.0,4.0,1.0
COMMD9,385.0,422.0,376.0,312.0,226.0,281.0,262.0,309.0,235.0
SLC15A3,46.0,60.0,128.0,68.0,50.0,72.0,63.0,46.0,61.0
CD5,7570.0,7697.0,5072.0,9288.0,7928.0,7943.0,8241.0,7766.0,7056.0
ACCS,379.0,371.0,895.0,289.0,209.0,569.0,652.0,598.0,490.0
SCGB2A2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MDK,68.0,59.0,58.0,158.0,117.0,119.0,134.0,130.0,144.0
AMBRA1,1298.0,1294.0,1201.0,1420.0,1187.0,1319.0,1451.0,1352.0,1155.0
MADD,3529.0,3832.0,3062.0,3242.0,2783.0,3141.0,3259.0,2933.0,2707.0
PTPMT1,209.23,237.0,159.26,461.13,436.0,532.11,478.62,470.93,450.67
NAA40,565.0,589.0,572.0,479.0,445.0,423.0,449.0,429.0,394.0
CARS,841.0,873.0,857.0,7045.0,6058.0,6692.0,7114.0,6719.0,6017.0
SLC22A18,150.0,195.0,186.0,326.0,251.0,338.0,354.0,318.0,264.0
CD81,3179.0,3233.0,2196.0,2335.0,2035.0,2090.0,2078.0,1882.0,1727.0
SLC35F2,193.0,168.0,77.0,1046.0,935.0,814.0,915.0,823.0,750.0
C11orf21,2619.0,2598.0,1726.0,535.0,513.0,423.0,419.0,434.0,429.0
ELMOD1,0.0,0.0,0.0,2.0,13.0,8.0,1.0,3.0,5.0
CALCA,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
SOX6,0.0,1.0,2.0,2.0,7.0,0.0,4.0,2.0,3.0
C11orf58,2051.0,2049.0,2008.0,3110.0,2591.0,2991.0,2949.0,2647.0,2566.0
PITPNM1,2089.0,2051.0,1479.0,3897.0,3425.0,3237.0,3196.0,3122.0,2862.0
RPS13,7585.4,7012.93,7802.73,9417.93,8372.64,9015.63,9359.7,8517.81,7673.03
AIP,1042.0,1058.0,1050.0,2539.0,2163.0,2595.0,2714.0,2461.0,2239.0
NUP98,3098.0,3253.0,3135.0,7218.0,6277.0,6988.0,7415.69,6978.85,6598.33
NDUFS8,488.0,506.0,508.0,1015.0,899.0,992.0,1022.0,900.0,814.0
TCIRG1,2604.12,2681.29,2194.8,2672.94,2202.09,2615.6,2728.21,2698.78,2339.79
CHKA,154.0,173.0,193.0,246.0,240.0,391.0,425.0,392.0,371.0
EXPH5,195.0,219.0,188.0,365.0,276.0,350.0,449.0,343.0,295.0
HPS5,347.0,396.0,345.0,1068.0,984.0,928.0,930.0,867.0,824.0
GTF2H1,336.0,398.0,350.0,1070.0,998.0,1238.0,1298.0,1196.0,1131.0
POU2AF1,77.0,72.0,108.0,469.0,372.0,89.0,103.0,99.0,73.0
PTPN5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
VWF,5.0,1.0,9.0,4.0,2.0,2.0,3.0,1.0,2.0
PSMD9,548.23,527.72,491.71,792.57,710.36,1008.11,1087.44,995.36,843.85
P3H3,85.0,92.0,56.0,60.0,59.0,53.0,42.0,45.0,39.0
PPFIBP1,54.89,72.0,113.51,193.88,184.57,172.4,213.73,219.36,169.65
PRPF40B,129.0,135.0,162.0,203.0,163.0,311.0,384.0,290.0,318.0
CD69,7609.0,7070.0,8020.0,2896.0,2519.0,2318.0,2370.0,2065.0,2029.0
PRDM4,1005.0,1004.0,782.0,1451.0,1297.0,1348.0,1490.0,1371.0,1303.0
CLEC2B,737.0,793.0,794.0,383.0,352.0,317.0,376.0,347.0,329.0
COQ5,138.0,125.0,173.0,519.0,494.0,780.0,694.0,696.0,645.0
SELPLG,2084.0,2151.0,1913.0,1597.0,1298.0,1439.0,1431.0,1316.0,1141.0
CORO1C,162.0,123.0,145.0,1077.0,956.0,1047.0,1100.0,992.0,943.0
ASIC1,40.0,55.0,106.0,179.0,156.0,465.0,478.0,500.0,477.0
DAO,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0
CAPRIN2,852.0,786.0,928.0,805.0,737.0,872.0,1038.0,954.0,877.0
TSPAN11,0.0,0.0,0.0,7.0,2.0,6.0,5.0,2.0,10.0
KCTD10,664.0,635.0,637.0,1388.0,1201.0,1442.0,1436.0,1365.0,1219.0
SLC11A2,589.0,594.0,792.0,1122.0,953.0,854.0,908.0,816.0,757.0
MLEC,932.0,862.0,799.0,4378.0,3826.0,4225.0,4440.0,4160.0,3747.0
MVK,186.0,210.0,173.0,311.0,220.0,320.0,342.0,305.0,297.0
CSRNP2,466.0,476.0,436.0,920.0,901.0,822.0,844.0,778.0,753.0
CAMKK2,477.0,454.0,422.0,1120.0,874.0,1144.0,1178.0,1153.0,1096.0
BIN2,4492.0,4329.99,4069.0,2821.0,2397.0,2523.0,2773.99,2395.79,2218.0
IL23A,170.0,171.0,135.0,1763.0,1483.0,852.0,1011.0,902.0,829.0
ATP5F1B,3132.0,2995.0,3040.0,12186.0,10456.0,11887.0,12102.0,11115.0,10237.0
PTGES3,2322.0,2187.14,2133.1,4016.22,3601.29,4308.58,4631.08,4279.15,3913.05
SYT10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BCL7A,145.0,128.0,185.0,285.0,224.0,490.0,580.0,543.0,444.0
RSRC2,3248.0,3284.0,3108.0,2110.0,1844.0,2217.0,2375.0,2053.0,1977.0
CYP27B1,27.0,33.0,17.0,334.0,256.0,302.0,277.0,273.0,255.0
MYF6,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MYF5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LIN7A,2.0,1.0,1.0,1.0,0.0,2.0,0.0,1.0,0.0
KRT18,62.0,36.0,53.0,58.0,55.0,106.0,95.0,113.0,99.0
ACSS3,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TNS2,36.0,43.0,41.0,38.0,29.0,43.0,79.0,41.0,49.0
GLI1,11.0,7.0,11.0,10.0,6.0,28.0,20.0,18.0,16.0
PPM1H,5.0,4.0,9.0,0.0,0.0,2.0,2.0,1.0,1.0
METAP2,774.0,635.0,632.0,2321.0,2006.0,2362.0,2548.0,2372.0,2201.0
LTA4H,1028.0,928.0,1187.0,3349.0,3032.0,3107.0,3271.0,2951.0,2634.0
ELK3,1360.0,1350.0,766.0,1263.0,1007.0,1035.0,1186.0,1002.0,942.0
